model,task,pass@1_value
ChatGLM_H,DecryptionUtils,0.0
ChatGLM_H,DiscountStrategy,0.0
ChatGLM_H,DocFileHandler,0.0
ChatGLM_H,EightPuzzle,0.0
ChatGLM_H,EmailClient,0.0
ChatGLM_H,EncryptionUtils,0.0
ChatGLM_H,ExcelProcessor,0.0
ChatGLM_H,ExpressionCalculator,0.0
ChatGLM_H,FitnessTracker,0.0
ChatGLM_H,GomokuGame,0.0
ChatGLM_H,Hotel,1.0
ChatGLM_H,HRManagementSystem,0.0
ChatGLM_H,HtmlUtil,0.0
ChatGLM_H,ImageProcessor,0.0
ChatGLM_H,Interpolation,0.0
ChatGLM_H,IPAddress,0.0
ChatGLM_H,IpUtil,0.0
ChatGLM_H,JobMarketplace,0.0
ChatGLM_H,JSONProcessor,0.0
ChatGLM_H,KappaCalculator,0.0
ChatGLM_H,Lemmatization,0.0
ChatGLM_H,LongestWord,0.0
ChatGLM_H,MahjongConnect,0.0
ChatGLM_H,Manacher,0.0
ChatGLM_H,MetricsCalculator,0.0
ChatGLM_H,MetricsCalculator2,0.0
ChatGLM_H,MinesweeperGame,0.0
ChatGLM_H,MovieBookingSystem,0.0
ChatGLM_H,MovieTicketDB,0.0
ChatGLM_H,MusicPlayer,1.0
ChatGLM_H,NLPDataProcessor,0.0
ChatGLM_H,NLPDataProcessor2,0.0
ChatGLM_H,NumberConverter,0.0
ChatGLM_H,NumberWordFormatter,0.0
ChatGLM_H,NumericEntityUnescaper,0.0
ChatGLM_H,Order,0.0
ChatGLM_H,PageUtil,0.0
ChatGLM_H,PDFHandler,0.0
ChatGLM_H,PersonRequest,0.0
ChatGLM_H,PushBoxGame,0.0
ChatGLM_H,RegexUtils,0.0
ChatGLM_H,RPGCharacter,0.0
ChatGLM_H,Server,0.0
ChatGLM_H,ShoppingCart,0.0
ChatGLM_H,SignInSystem,0.0
ChatGLM_H,Snake,0.0
ChatGLM_H,SplitSentence,0.0
ChatGLM_H,SQLGenerator,0.0
ChatGLM_H,SQLQueryBuilder,0.0
ChatGLM_H,Statistics3,0.0
ChatGLM_H,StockPortfolioTracker,0.0
ChatGLM_H,StudentDatabaseProcessor,0.0
ChatGLM_H,TextFileProcessor,0.0
ChatGLM_H,Thermostat,0.0
ChatGLM_H,TicTacToe,0.0
ChatGLM_H,TimeUtils,0.0
ChatGLM_H,TriCalculator,0.0
ChatGLM_H,TwentyFourPointGame,0.0
ChatGLM_H,URLHandler,0.0
ChatGLM_H,UrlPath,0.0
ChatGLM_H,UserLoginDB,0.0
ChatGLM_H,VectorUtil,0.0
ChatGLM_H,VendingMachine,0.0
ChatGLM_H,Warehouse,0.0
ChatGLM_H,WeatherSystem,0.0
ChatGLM_H,Words2Numbers,0.0
ChatGLM_H,XMLProcessor,0.0
ChatGLM_H,ZipFileProcessor,0.0
ChatGLM_I,AccessGatewayFilter,0.0
ChatGLM_I,AreaCalculator,0.0
ChatGLM_I,ArgumentParser,0.0
ChatGLM_I,ArrangementCalculator,0.0
ChatGLM_I,AssessmentSystem,0.0
ChatGLM_I,AutomaticGuitarSimulator,0.0
ChatGLM_I,AvgPartition,0.0
ChatGLM_I,BalancedBrackets,0.0
ChatGLM_I,BankAccount,0.0
ChatGLM_I,BigNumCalculator,0.0
ChatGLM_I,BinaryDataProcessor,0.0
ChatGLM_I,BitStatusUtil,0.0
ChatGLM_I,BlackjackGame,0.0
ChatGLM_I,BookManagement,0.0
ChatGLM_I,BookManagementDB,0.0
ChatGLM_I,BoyerMooreSearch,0.0
ChatGLM_I,Calculator,0.0
ChatGLM_I,CalendarUtil,0.0
ChatGLM_I,CamelCaseMap,0.0
ChatGLM_I,ChandrasekharSieve,0.0
ChatGLM_I,Chat,0.0
ChatGLM_I,Classroom,0.0
ChatGLM_I,ClassRegistrationSystem,0.0
ChatGLM_I,CombinationCalculator,0.0
ChatGLM_I,ComplexCalculator,0.0
ChatGLM_I,CookiesUtil,0.0
ChatGLM_I,CSVProcessor,0.0
ChatGLM_I,CurrencyConverter,0.0
ChatGLM_I,DatabaseProcessor,0.0
ChatGLM_I,DataStatistics,0.0
ChatGLM_I,DataStatistics2,0.0
ChatGLM_I,DataStatistics4,0.0
ChatGLM_I,DecryptionUtils,0.0
ChatGLM_I,DiscountStrategy,0.0
ChatGLM_I,DocFileHandler,0.0
ChatGLM_I,EightPuzzle,0.0
ChatGLM_I,EmailClient,0.0
ChatGLM_I,EncryptionUtils,0.0
ChatGLM_I,ExcelProcessor,0.0
ChatGLM_I,ExpressionCalculator,0.0
ChatGLM_I,FitnessTracker,0.0
ChatGLM_I,GomokuGame,0.0
ChatGLM_I,Hotel,1.0
ChatGLM_I,HRManagementSystem,0.0
ChatGLM_I,HtmlUtil,0.0
ChatGLM_I,ImageProcessor,0.0
ChatGLM_I,Interpolation,0.0
ChatGLM_I,IPAddress,0.0
ChatGLM_I,IpUtil,0.0
ChatGLM_I,JobMarketplace,0.0
ChatGLM_I,JSONProcessor,0.0
ChatGLM_I,KappaCalculator,0.0
ChatGLM_I,Lemmatization,0.0
ChatGLM_I,LongestWord,0.0
ChatGLM_I,MahjongConnect,0.0
ChatGLM_I,Manacher,0.0
ChatGLM_I,MetricsCalculator,0.0
ChatGLM_I,MetricsCalculator2,0.0
ChatGLM_I,MinesweeperGame,0.0
ChatGLM_I,MovieBookingSystem,0.0
ChatGLM_I,MovieTicketDB,0.0
ChatGLM_I,MusicPlayer,1.0
ChatGLM_I,NLPDataProcessor,0.0
ChatGLM_I,NLPDataProcessor2,0.0
ChatGLM_I,NumberConverter,0.0
ChatGLM_I,NumberWordFormatter,0.0
ChatGLM_I,NumericEntityUnescaper,0.0
ChatGLM_I,Order,0.0
ChatGLM_I,PageUtil,0.0
ChatGLM_I,PDFHandler,0.0
ChatGLM_I,PersonRequest,0.0
ChatGLM_I,PushBoxGame,0.0
ChatGLM_I,RegexUtils,0.0
ChatGLM_I,RPGCharacter,0.0
ChatGLM_I,Server,0.0
ChatGLM_I,ShoppingCart,0.0
ChatGLM_I,SignInSystem,0.0
ChatGLM_I,Snake,0.0
ChatGLM_I,SplitSentence,0.0
ChatGLM_I,SQLGenerator,0.0
ChatGLM_I,SQLQueryBuilder,0.0
ChatGLM_I,Statistics3,0.0
ChatGLM_I,StockPortfolioTracker,0.0
ChatGLM_I,StudentDatabaseProcessor,0.0
ChatGLM_I,TextFileProcessor,0.0
ChatGLM_I,Thermostat,0.0
ChatGLM_I,TicTacToe,0.0
ChatGLM_I,TimeUtils,0.0
ChatGLM_I,TriCalculator,0.0
ChatGLM_I,TwentyFourPointGame,0.0
ChatGLM_I,URLHandler,0.0
ChatGLM_I,UrlPath,0.0
ChatGLM_I,UserLoginDB,0.0
ChatGLM_I,VectorUtil,0.0
ChatGLM_I,VendingMachine,0.0
ChatGLM_I,Warehouse,0.0
ChatGLM_I,WeatherSystem,0.0
ChatGLM_I,Words2Numbers,0.0
ChatGLM_I,XMLProcessor,0.0
ChatGLM_I,ZipFileProcessor,0.0
CodeGeeX_C,AccessGatewayFilter,0.0
CodeGeeX_C,AreaCalculator,0.0
CodeGeeX_C,ArgumentParser,0.0
CodeGeeX_C,ArrangementCalculator,0.0
CodeGeeX_C,AssessmentSystem,1.0
CodeGeeX_C,AutomaticGuitarSimulator,0.0
CodeGeeX_C,AvgPartition,0.0
CodeGeeX_C,BalancedBrackets,0.0
CodeGeeX_C,BankAccount,0.0
CodeGeeX_C,BigNumCalculator,0.0
CodeGeeX_C,BinaryDataProcessor,0.0
CodeGeeX_C,BitStatusUtil,0.0
CodeGeeX_C,BlackjackGame,0.0
CodeGeeX_C,BookManagement,0.0
CodeGeeX_C,BookManagementDB,0.0
CodeGeeX_C,BoyerMooreSearch,0.0
CodeGeeX_C,Calculator,0.0
CodeGeeX_C,CalendarUtil,0.0
CodeGeeX_C,CamelCaseMap,0.0
CodeGeeX_C,ChandrasekharSieve,0.0
CodeGeeX_C,Chat,0.0
CodeGeeX_C,Classroom,0.0
CodeGeeX_C,ClassRegistrationSystem,0.0
CodeGeeX_C,CombinationCalculator,0.0
CodeGeeX_C,ComplexCalculator,0.0
CodeGeeX_C,CookiesUtil,0.0
CodeGeeX_C,CSVProcessor,0.0
CodeGeeX_C,CurrencyConverter,0.0
CodeGeeX_C,DatabaseProcessor,0.0
CodeGeeX_C,DataStatistics,0.0
CodeGeeX_C,DataStatistics2,0.0
CodeGeeX_C,DataStatistics4,0.0
CodeGeeX_C,DecryptionUtils,0.0
CodeGeeX_C,DiscountStrategy,0.0
CodeGeeX_C,DocFileHandler,0.0
CodeGeeX_C,EightPuzzle,0.0
CodeGeeX_C,EmailClient,0.0
CodeGeeX_C,EncryptionUtils,0.0
CodeGeeX_C,ExcelProcessor,0.0
CodeGeeX_C,ExpressionCalculator,0.0
CodeGeeX_C,FitnessTracker,0.0
CodeGeeX_C,GomokuGame,0.0
CodeGeeX_C,Hotel,1.0
CodeGeeX_C,HRManagementSystem,0.0
CodeGeeX_C,HtmlUtil,0.0
CodeGeeX_C,ImageProcessor,0.0
CodeGeeX_C,Interpolation,0.0
CodeGeeX_C,IPAddress,0.0
CodeGeeX_C,IpUtil,0.0
CodeGeeX_C,JobMarketplace,0.0
CodeGeeX_C,JSONProcessor,0.0
CodeGeeX_C,KappaCalculator,0.0
CodeGeeX_C,Lemmatization,0.0
CodeGeeX_C,LongestWord,0.0
CodeGeeX_C,MahjongConnect,0.0
CodeGeeX_C,Manacher,0.0
CodeGeeX_C,MetricsCalculator,0.0
CodeGeeX_C,MetricsCalculator2,0.0
CodeGeeX_C,MinesweeperGame,0.0
CodeGeeX_C,MovieBookingSystem,0.0
CodeGeeX_C,MovieTicketDB,0.0
CodeGeeX_C,MusicPlayer,1.0
CodeGeeX_C,NLPDataProcessor,0.0
CodeGeeX_C,NLPDataProcessor2,0.0
CodeGeeX_C,NumberConverter,0.0
CodeGeeX_C,NumberWordFormatter,0.0
CodeGeeX_C,NumericEntityUnescaper,0.0
CodeGeeX_C,Order,0.0
CodeGeeX_C,PageUtil,0.0
CodeGeeX_C,PDFHandler,0.0
CodeGeeX_C,PersonRequest,0.0
CodeGeeX_C,PushBoxGame,0.0
CodeGeeX_C,RegexUtils,0.0
CodeGeeX_C,RPGCharacter,0.0
CodeGeeX_C,Server,0.0
CodeGeeX_C,ShoppingCart,0.0
CodeGeeX_C,SignInSystem,0.0
CodeGeeX_C,Snake,0.0
CodeGeeX_C,SplitSentence,0.0
CodeGeeX_C,SQLGenerator,0.0
CodeGeeX_C,SQLQueryBuilder,0.0
CodeGeeX_C,Statistics3,0.0
CodeGeeX_C,StockPortfolioTracker,0.0
CodeGeeX_C,StudentDatabaseProcessor,0.0
CodeGeeX_C,TextFileProcessor,0.0
CodeGeeX_C,Thermostat,0.0
CodeGeeX_C,TicTacToe,0.0
CodeGeeX_C,TimeUtils,0.0
CodeGeeX_C,TriCalculator,0.0
CodeGeeX_C,TwentyFourPointGame,0.0
CodeGeeX_C,URLHandler,0.0
CodeGeeX_C,UrlPath,0.0
CodeGeeX_C,UserLoginDB,0.0
CodeGeeX_C,VectorUtil,0.0
CodeGeeX_C,VendingMachine,0.0
CodeGeeX_C,Warehouse,0.0
CodeGeeX_C,WeatherSystem,0.0
CodeGeeX_C,Words2Numbers,0.0
CodeGeeX_C,XMLProcessor,0.0
CodeGeeX_C,ZipFileProcessor,0.0
CodeGeeX_H,AccessGatewayFilter,0.0
CodeGeeX_H,AreaCalculator,0.0
CodeGeeX_H,ArgumentParser,0.0
CodeGeeX_H,ArrangementCalculator,0.0
CodeGeeX_H,AssessmentSystem,0.0
CodeGeeX_H,AutomaticGuitarSimulator,0.0
CodeGeeX_H,AvgPartition,0.0
CodeGeeX_H,BalancedBrackets,0.0
CodeGeeX_H,BankAccount,0.0
CodeGeeX_H,BigNumCalculator,0.0
CodeGeeX_H,BinaryDataProcessor,0.0
CodeGeeX_H,BitStatusUtil,0.0
CodeGeeX_H,BlackjackGame,0.0
CodeGeeX_H,BookManagement,0.0
CodeGeeX_H,BookManagementDB,0.0
CodeGeeX_H,BoyerMooreSearch,0.0
CodeGeeX_H,Calculator,0.0
CodeGeeX_H,CalendarUtil,0.0
CodeGeeX_H,CamelCaseMap,0.0
CodeGeeX_H,ChandrasekharSieve,0.0
CodeGeeX_H,Chat,0.0
CodeGeeX_H,Classroom,0.0
CodeGeeX_H,ClassRegistrationSystem,0.0
CodeGeeX_H,CombinationCalculator,0.0
CodeGeeX_H,ComplexCalculator,0.0
CodeGeeX_H,CookiesUtil,0.0
CodeGeeX_H,CSVProcessor,0.0
CodeGeeX_H,CurrencyConverter,0.0
CodeGeeX_H,DatabaseProcessor,0.0
CodeGeeX_H,DataStatistics,0.0
CodeGeeX_H,DataStatistics2,0.0
CodeGeeX_H,DataStatistics4,0.0
CodeGeeX_H,DecryptionUtils,0.0
CodeGeeX_H,DiscountStrategy,0.0
CodeGeeX_H,DocFileHandler,0.0
CodeGeeX_H,EightPuzzle,0.0
CodeGeeX_H,EmailClient,0.0
CodeGeeX_H,EncryptionUtils,0.0
CodeGeeX_H,ExcelProcessor,0.0
CodeGeeX_H,ExpressionCalculator,0.0
CodeGeeX_H,FitnessTracker,0.0
CodeGeeX_H,GomokuGame,0.0
CodeGeeX_H,Hotel,1.0
CodeGeeX_H,HRManagementSystem,0.0
CodeGeeX_H,HtmlUtil,0.0
CodeGeeX_H,ImageProcessor,0.0
CodeGeeX_H,Interpolation,0.0
CodeGeeX_H,IPAddress,0.0
CodeGeeX_H,IpUtil,0.0
CodeGeeX_H,JobMarketplace,0.0
CodeGeeX_H,JSONProcessor,0.0
CodeGeeX_H,KappaCalculator,0.0
CodeGeeX_H,Lemmatization,0.0
CodeGeeX_H,LongestWord,0.0
CodeGeeX_H,MahjongConnect,0.0
CodeGeeX_H,Manacher,0.0
CodeGeeX_H,MetricsCalculator,0.0
CodeGeeX_H,MetricsCalculator2,0.0
CodeGeeX_H,MinesweeperGame,0.0
CodeGeeX_H,MovieBookingSystem,0.0
CodeGeeX_H,MovieTicketDB,0.0
CodeGeeX_H,MusicPlayer,0.0
CodeGeeX_H,NLPDataProcessor,0.0
CodeGeeX_H,NLPDataProcessor2,0.0
CodeGeeX_H,NumberConverter,0.0
CodeGeeX_H,NumberWordFormatter,0.0
CodeGeeX_H,NumericEntityUnescaper,0.0
CodeGeeX_H,Order,0.0
CodeGeeX_H,PageUtil,0.0
CodeGeeX_H,PDFHandler,0.0
CodeGeeX_H,PersonRequest,0.0
CodeGeeX_H,PushBoxGame,0.0
CodeGeeX_H,RegexUtils,0.0
CodeGeeX_H,RPGCharacter,0.0
CodeGeeX_H,Server,0.0
CodeGeeX_H,ShoppingCart,0.0
CodeGeeX_H,SignInSystem,0.0
CodeGeeX_H,Snake,0.0
CodeGeeX_H,SplitSentence,0.0
CodeGeeX_H,SQLGenerator,0.0
CodeGeeX_H,SQLQueryBuilder,0.0
CodeGeeX_H,Statistics3,0.0
CodeGeeX_H,StockPortfolioTracker,0.0
CodeGeeX_H,StudentDatabaseProcessor,0.0
CodeGeeX_H,TextFileProcessor,0.0
CodeGeeX_H,Thermostat,0.0
CodeGeeX_H,TicTacToe,0.0
CodeGeeX_H,TimeUtils,0.0
CodeGeeX_H,TriCalculator,0.0
CodeGeeX_H,TwentyFourPointGame,0.0
CodeGeeX_H,URLHandler,0.0
CodeGeeX_H,UrlPath,0.0
CodeGeeX_H,UserLoginDB,0.0
CodeGeeX_H,VectorUtil,0.0
CodeGeeX_H,VendingMachine,0.0
CodeGeeX_H,Warehouse,0.0
CodeGeeX_H,WeatherSystem,0.0
CodeGeeX_H,Words2Numbers,0.0
CodeGeeX_H,XMLProcessor,0.0
CodeGeeX_H,ZipFileProcessor,0.0
CodeGeeX_I,AccessGatewayFilter,0.0
CodeGeeX_I,AreaCalculator,0.0
CodeGeeX_I,ArgumentParser,0.0
CodeGeeX_I,ArrangementCalculator,0.0
CodeGeeX_I,AssessmentSystem,1.0
CodeGeeX_I,AutomaticGuitarSimulator,0.0
CodeGeeX_I,AvgPartition,0.0
CodeGeeX_I,BalancedBrackets,0.0
CodeGeeX_I,BankAccount,1.0
CodeGeeX_I,BigNumCalculator,0.0
CodeGeeX_I,BinaryDataProcessor,0.0
CodeGeeX_I,BitStatusUtil,0.0
CodeGeeX_I,BlackjackGame,0.0
CodeGeeX_I,BookManagement,0.0
CodeGeeX_I,BookManagementDB,0.0
CodeGeeX_I,BoyerMooreSearch,0.0
CodeGeeX_I,Calculator,0.0
CodeGeeX_I,CalendarUtil,0.0
CodeGeeX_I,CamelCaseMap,0.0
CodeGeeX_I,ChandrasekharSieve,1.0
CodeGeeX_I,Chat,0.0
CodeGeeX_I,Classroom,1.0
CodeGeeX_I,ClassRegistrationSystem,0.0
CodeGeeX_I,CombinationCalculator,0.0
CodeGeeX_I,ComplexCalculator,0.0
CodeGeeX_I,CookiesUtil,0.0
CodeGeeX_I,CSVProcessor,0.0
CodeGeeX_I,CurrencyConverter,0.0
CodeGeeX_I,DatabaseProcessor,0.0
CodeGeeX_I,DataStatistics,0.0
CodeGeeX_I,DataStatistics2,0.0
CodeGeeX_I,DataStatistics4,0.0
CodeGeeX_I,DecryptionUtils,0.0
CodeGeeX_I,DiscountStrategy,0.0
CodeGeeX_I,DocFileHandler,0.0
CodeGeeX_I,EightPuzzle,0.0
CodeGeeX_I,EmailClient,0.0
CodeGeeX_I,EncryptionUtils,0.0
CodeGeeX_I,ExcelProcessor,0.0
CodeGeeX_I,ExpressionCalculator,0.0
CodeGeeX_I,FitnessTracker,0.0
CodeGeeX_I,GomokuGame,0.0
CodeGeeX_I,Hotel,1.0
CodeGeeX_I,HRManagementSystem,0.0
CodeGeeX_I,HtmlUtil,0.0
CodeGeeX_I,ImageProcessor,0.0
CodeGeeX_I,Interpolation,0.0
CodeGeeX_I,IPAddress,0.0
CodeGeeX_I,IpUtil,0.0
CodeGeeX_I,JobMarketplace,0.0
CodeGeeX_I,JSONProcessor,0.0
CodeGeeX_I,KappaCalculator,0.0
CodeGeeX_I,Lemmatization,0.0
CodeGeeX_I,LongestWord,1.0
CodeGeeX_I,MahjongConnect,0.0
CodeGeeX_I,Manacher,0.0
CodeGeeX_I,MetricsCalculator,0.0
CodeGeeX_I,MetricsCalculator2,0.0
CodeGeeX_I,MinesweeperGame,0.0
CodeGeeX_I,MovieBookingSystem,0.0
CodeGeeX_I,MovieTicketDB,0.0
CodeGeeX_I,MusicPlayer,1.0
CodeGeeX_I,NLPDataProcessor,0.0
CodeGeeX_I,NLPDataProcessor2,0.0
CodeGeeX_I,NumberConverter,0.0
CodeGeeX_I,NumberWordFormatter,0.0
CodeGeeX_I,NumericEntityUnescaper,0.0
CodeGeeX_I,Order,0.0
CodeGeeX_I,PageUtil,0.0
CodeGeeX_I,PDFHandler,0.0
CodeGeeX_I,PersonRequest,0.0
CodeGeeX_I,PushBoxGame,0.0
CodeGeeX_I,RegexUtils,0.0
CodeGeeX_I,RPGCharacter,0.0
CodeGeeX_I,Server,0.0
CodeGeeX_I,ShoppingCart,1.0
CodeGeeX_I,SignInSystem,1.0
CodeGeeX_I,Snake,0.0
CodeGeeX_I,SplitSentence,0.0
CodeGeeX_I,SQLGenerator,0.0
CodeGeeX_I,SQLQueryBuilder,0.0
CodeGeeX_I,Statistics3,0.0
CodeGeeX_I,StockPortfolioTracker,0.0
CodeGeeX_I,StudentDatabaseProcessor,0.0
CodeGeeX_I,TextFileProcessor,0.0
CodeGeeX_I,Thermostat,0.0
CodeGeeX_I,TicTacToe,0.0
CodeGeeX_I,TimeUtils,0.0
CodeGeeX_I,TriCalculator,0.0
CodeGeeX_I,TwentyFourPointGame,0.0
CodeGeeX_I,URLHandler,0.0
CodeGeeX_I,UrlPath,0.0
CodeGeeX_I,UserLoginDB,0.0
CodeGeeX_I,VectorUtil,0.0
CodeGeeX_I,VendingMachine,0.0
CodeGeeX_I,Warehouse,0.0
CodeGeeX_I,WeatherSystem,0.0
CodeGeeX_I,Words2Numbers,0.0
CodeGeeX_I,XMLProcessor,0.0
CodeGeeX_I,ZipFileProcessor,0.0
GPT-3.5_C,AccessGatewayFilter,0.0
GPT-3.5_C,AreaCalculator,0.0
GPT-3.5_C,ArgumentParser,0.0
GPT-3.5_C,ArrangementCalculator,0.0
GPT-3.5_C,AssessmentSystem,1.0
GPT-3.5_C,AutomaticGuitarSimulator,0.0
GPT-3.5_C,AvgPartition,1.0
GPT-3.5_C,BalancedBrackets,1.0
GPT-3.5_C,BankAccount,0.0
GPT-3.5_C,BigNumCalculator,0.0
GPT-3.5_C,BinaryDataProcessor,0.0
GPT-3.5_C,BitStatusUtil,0.0
GPT-3.5_C,BlackjackGame,0.0
GPT-3.5_C,BookManagement,0.0
GPT-3.5_C,BookManagementDB,0.0
GPT-3.5_C,BoyerMooreSearch,0.0
GPT-3.5_C,Calculator,1.0
GPT-3.5_C,CalendarUtil,0.0
GPT-3.5_C,CamelCaseMap,0.0
GPT-3.5_C,ChandrasekharSieve,1.0
GPT-3.5_C,Chat,0.0
GPT-3.5_C,Classroom,0.0
GPT-3.5_C,ClassRegistrationSystem,1.0
GPT-3.5_C,CombinationCalculator,0.0
GPT-3.5_C,ComplexCalculator,0.0
GPT-3.5_C,CookiesUtil,0.0
GPT-3.5_C,CSVProcessor,0.0
GPT-3.5_C,CurrencyConverter,0.0
GPT-3.5_C,DatabaseProcessor,1.0
GPT-3.5_C,DataStatistics,1.0
GPT-3.5_C,DataStatistics2,0.0
GPT-3.5_C,DataStatistics4,0.0
GPT-3.5_C,DecryptionUtils,0.0
GPT-3.5_C,DiscountStrategy,0.0
GPT-3.5_C,DocFileHandler,0.0
GPT-3.5_C,EightPuzzle,0.0
GPT-3.5_C,EmailClient,0.0
GPT-3.5_C,EncryptionUtils,0.0
GPT-3.5_C,ExcelProcessor,0.0
GPT-3.5_C,ExpressionCalculator,0.0
GPT-3.5_C,FitnessTracker,0.0
GPT-3.5_C,GomokuGame,0.0
GPT-3.5_C,Hotel,1.0
GPT-3.5_C,HRManagementSystem,0.0
GPT-3.5_C,HtmlUtil,0.0
GPT-3.5_C,ImageProcessor,0.0
