model,strategy,task,class_name,pass_value,status
WizardCoder-15B-V1.0,H_greedy,ClassEval_46,Interpolation,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_47,IPAddress,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_48,IpUtil,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_49,JobMarketplace,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_5,AutomaticGuitarSimulator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_50,JSONProcessor,0.75,PartialSuccess
WizardCoder-15B-V1.0,H_greedy,ClassEval_51,KappaCalculator,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_52,Lemmatization,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_53,LongestWord,0.5,PartialSuccess
WizardCoder-15B-V1.0,H_greedy,ClassEval_54,MahjongConnect,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_55,Manacher,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_56,MetricsCalculator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_57,MetricsCalculator2,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_58,MinesweeperGame,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_59,MovieBookingSystem,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_6,AvgPartition,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_60,MovieTicketDB,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_61,MusicPlayer,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_62,NLPDataProcessor,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_63,NLPDataProcessor2,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_64,NumberConverter,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_65,NumberWordFormatter,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_66,NumericEntityUnescaper,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_67,Order,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_68,PageUtil,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_69,PDFHandler,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_7,BalancedBrackets,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_70,PersonRequest,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_71,PushBoxGame,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_72,RegexUtils,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_73,RPGCharacter,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_74,Server,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_75,ShoppingCart,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_76,SignInSystem,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_77,Snake,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_78,SplitSentence,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_79,SQLGenerator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_8,BankAccount,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_80,SQLQueryBuilder,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_81,Statistics3,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_82,StockPortfolioTracker,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_83,StudentDatabaseProcessor,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_84,TextFileProcessor,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_85,Thermostat,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_86,TicTacToe,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_87,TimeUtils,1.0,Success
WizardCoder-15B-V1.0,H_greedy,ClassEval_88,TriCalculator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_89,TwentyFourPointGame,0.75,PartialSuccess
WizardCoder-15B-V1.0,H_greedy,ClassEval_9,BigNumCalculator,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_90,URLHandler,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_91,UrlPath,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_92,UserLoginDB,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_93,VectorUtil,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_94,VendingMachine,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_95,Warehouse,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_96,WeatherSystem,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_97,Words2Numbers,0.0,error
WizardCoder-15B-V1.0,H_greedy,ClassEval_98,XMLProcessor,0.0,Fail
WizardCoder-15B-V1.0,H_greedy,ClassEval_99,ZipFileProcessor,0.0,error
