model,strategy,file,base_task,status,ncloc,sqale_index,cognitive_complexity,complexity,code_smells,pass_val,fqs
GPT-3.5-Turbo,H,DocFileHandler.py,DocFileHandler,error,41.0,0.0,7.0,9.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,EightPuzzle.py,EightPuzzle,error,57.0,0.0,28.0,21.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,EmailClient.py,EmailClient,error,37.0,0.0,7.0,11.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,EncryptionUtils.py,EncryptionUtils,PartialSuccess,42.0,0.0,24.0,16.0,0.0,0.75,0.75
GPT-3.5-Turbo,H,ExcelProcessor.py,ExcelProcessor,error,33.0,12.0,10.0,9.0,3.0,0.0,0.0
GPT-3.5-Turbo,H,ExpressionCalculator.py,ExpressionCalculator,error,57.0,0.0,24.0,17.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,FitnessTracker.py,FitnessTracker,Success,41.0,7.0,15.0,9.0,2.0,1.0,0.9829268292682927
GPT-3.5-Turbo,H,GomokuGame.py,GomokuGame,Fail,29.0,0.0,16.0,15.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,Hotel.py,Hotel,Success,37.0,0.0,24.0,15.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,HRManagementSystem.py,HRManagementSystem,Fail,28.0,0.0,8.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,HtmlUtil.py,HtmlUtil,Fail,31.0,2.0,2.0,6.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,ImageProcessor.py,ImageProcessor,error,19.0,0.0,4.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,Interpolation.py,Interpolation,Fail,65.0,24.0,36.0,17.0,8.0,0.0,0.0
GPT-3.5-Turbo,H,IPAddress.py,IPAddress,Success,28.0,0.0,13.0,12.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,IpUtil.py,IpUtil,error,23.0,0.0,3.0,3.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,JobMarketplace.py,JobMarketplace,error,24.0,0.0,6.0,11.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,JSONProcessor.py,JSONProcessor,Success,29.0,10.0,9.0,7.0,2.0,1.0,0.9655172413793104
GPT-3.5-Turbo,H,KappaCalculator.py,KappaCalculator,Fail,6.0,6.0,,2.0,3.0,0.0,0.0
GPT-3.5-Turbo,H,Lemmatization.py,Lemmatization,error,25.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,LongestWord.py,LongestWord,error,15.0,0.0,4.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MahjongConnect.py,MahjongConnect,error,36.0,14.0,16.0,22.0,4.0,0.0,0.0
GPT-3.5-Turbo,H,Manacher.py,Manacher,Fail,5.0,0.0,,3.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MetricsCalculator.py,MetricsCalculator,Fail,38.0,0.0,14.0,16.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MetricsCalculator2.py,MetricsCalculator2,Fail,50.0,27.0,32.0,15.0,5.0,0.0,0.0
GPT-3.5-Turbo,H,MinesweeperGame.py,MinesweeperGame,error,36.0,5.0,19.0,14.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,MovieBookingSystem.py,MovieBookingSystem,PartialSuccess,30.0,0.0,15.0,11.0,0.0,0.75,0.75
GPT-3.5-Turbo,H,MovieTicketDB.py,MovieTicketDB,Fail,21.0,0.0,,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,MusicPlayer.py,MusicPlayer,Fail,51.0,0.0,18.0,17.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,NLPDataProcessor.py,NLPDataProcessor,PartialSuccess,15.0,0.0,1.0,5.0,0.0,0.6666666666666666,0.6666666666666666
GPT-3.5-Turbo,H,NLPDataProcessor2.py,NLPDataProcessor2,PartialSuccess,19.0,0.0,2.0,5.0,0.0,0.3333333333333333,0.3333333333333333
GPT-3.5-Turbo,H,NumberConverter.py,NumberConverter,Success,25.0,0.0,,6.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,NumberWordFormatter.py,NumberWordFormatter,Fail,14.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,NumericEntityUnescaper.py,NumericEntityUnescaper,Success,9.0,5.0,1.0,4.0,1.0,1.0,0.9444444444444444
GPT-3.5-Turbo,H,Order.py,Order,Fail,22.0,0.0,7.0,9.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,PageUtil.py,PageUtil,PartialSuccess,35.0,0.0,,5.0,0.0,0.75,0.75
GPT-3.5-Turbo,H,PDFHandler.py,PDFHandler,error,21.0,0.0,4.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,PersonRequest.py,PersonRequest,error,18.0,26.0,5.0,10.0,7.0,0.0,0.0
GPT-3.5-Turbo,H,PushBoxGame.py,PushBoxGame,PartialSuccess,54.0,0.0,22.0,15.0,0.0,0.3333333333333333,0.3333333333333333
GPT-3.5-Turbo,H,RegexUtils.py,RegexUtils,error,0.0,0.0,,0.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,RPGCharacter.py,RPGCharacter,Fail,27.0,0.0,2.0,8.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,Server.py,Server,Fail,29.0,0.0,9.0,10.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,ShoppingCart.py,ShoppingCart,Success,17.0,0.0,4.0,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,SignInSystem.py,SignInSystem,Success,31.0,0.0,12.0,13.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,Snake.py,Snake,error,42.0,6.0,6.0,8.0,3.0,0.0,0.0
GPT-3.5-Turbo,H,SplitSentence.py,SplitSentence,Fail,15.0,0.0,3.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,SQLGenerator.py,SQLGenerator,Success,25.0,0.0,4.0,9.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,SQLQueryBuilder.py,SQLQueryBuilder,Success,38.0,20.0,10.0,11.0,3.0,1.0,0.9473684210526316
GPT-3.5-Turbo,H,Statistics3.py,Statistics3,error,57.0,0.0,9.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,StockPortfolioTracker.py,StockPortfolioTracker,error,54.0,0.0,8.0,13.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,StudentDatabaseProcessor.py,StudentDatabaseProcessor,Fail,31.0,0.0,,5.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,TextFileProcessor.py,TextFileProcessor,error,22.0,0.0,,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,Thermostat.py,Thermostat,error,38.0,0.0,11.0,14.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,TicTacToe.py,TicTacToe,Success,27.0,2.0,14.0,13.0,1.0,1.0,0.9925925925925926
GPT-3.5-Turbo,H,TimeUtils.py,TimeUtils,Success,25.0,0.0,,8.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,TriCalculator.py,TriCalculator,Fail,27.0,5.0,3.0,8.0,1.0,0.0,0.0
GPT-3.5-Turbo,H,TwentyFourPointGame.py,TwentyFourPointGame,error,19.0,10.0,2.0,5.0,2.0,0.0,0.0
GPT-3.5-Turbo,H,URLHandler.py,URLHandler,Fail,19.0,0.0,1.0,7.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,UrlPath.py,UrlPath,error,14.0,0.0,,4.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,UserLoginDB.py,UserLoginDB,Fail,26.0,0.0,2.0,6.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,VectorUtil.py,VectorUtil,Fail,16.0,0.0,,4.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,VendingMachine.py,VendingMachine,Fail,36.0,0.0,15.0,12.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,Warehouse.py,Warehouse,Success,32.0,0.0,12.0,14.0,0.0,1.0,1.0
GPT-3.5-Turbo,H,WeatherSystem.py,WeatherSystem,PartialSuccess,20.0,0.0,3.0,7.0,0.0,0.8,0.8
GPT-3.5-Turbo,H,Words2Numbers.py,Words2Numbers,error,37.0,0.0,12.0,12.0,0.0,0.0,0.0
GPT-3.5-Turbo,H,XMLProcessor.py,XMLProcessor,error,26.0,10.0,2.0,5.0,2.0,0.0,0.0
GPT-3.5-Turbo,H,ZipFileProcessor.py,ZipFileProcessor,error,33.0,0.0,5.0,6.0,0.0,0.0,0.0
GPT-4-Turbo,H,AccessGatewayFilter.py,AccessGatewayFilter,error,27.0,0.0,5.0,8.0,0.0,0.0,0.0
GPT-4-Turbo,H,AreaCalculator.py,AreaCalculator,Success,14.0,0.0,,6.0,0.0,1.0,1.0
GPT-4-Turbo,H,ArgumentParser.py,ArgumentParser,Fail,40.0,6.0,18.0,12.0,1.0,0.0,0.0
GPT-4-Turbo,H,ArrangementCalculator.py,ArrangementCalculator,Fail,23.0,0.0,4.0,9.0,0.0,0.0,0.0
GPT-4-Turbo,H,AssessmentSystem.py,AssessmentSystem,Success,19.0,0.0,4.0,13.0,0.0,1.0,1.0
GPT-4-Turbo,H,AutomaticGuitarSimulator.py,AutomaticGuitarSimulator,Fail,15.0,0.0,3.0,7.0,0.0,0.0,0.0
GPT-4-Turbo,H,AvgPartition.py,AvgPartition,Success,15.0,5.0,1.0,4.0,1.0,1.0,0.9666666666666667
GPT-4-Turbo,H,BalancedBrackets.py,BalancedBrackets,Success,19.0,0.0,10.0,8.0,0.0,1.0,1.0
GPT-4-Turbo,H,BankAccount.py,BankAccount,Success,20.0,0.0,3.0,8.0,0.0,1.0,1.0
GPT-4-Turbo,H,BigNumCalculator.py,BigNumCalculator,Success,10.0,0.0,,3.0,0.0,1.0,1.0
GPT-4-Turbo,H,BinaryDataProcessor.py,BinaryDataProcessor,Fail,17.0,0.0,,6.0,0.0,0.0,0.0
GPT-4-Turbo,H,BitStatusUtil.py,BitStatusUtil,Success,21.0,0.0,6.0,8.0,0.0,1.0,1.0
GPT-4-Turbo,H,BlackjackGame.py,BlackjackGame,Fail,40.0,0.0,16.0,12.0,0.0,0.0,0.0
GPT-4-Turbo,H,BookManagement.py,BookManagement,PartialSuccess,25.0,0.0,12.0,10.0,0.0,0.8,0.8
GPT-4-Turbo,H,BookManagementDB.py,BookManagementDB,error,42.0,0.0,,7.0,0.0,0.0,0.0
GPT-4-Turbo,H,BoyerMooreSearch.py,BoyerMooreSearch,PartialSuccess,24.0,10.0,10.0,10.0,5.0,0.75,0.71875
GPT-4-Turbo,H,Calculator.py,Calculator,Success,40.0,0.0,16.0,14.0,0.0,1.0,1.0
GPT-4-Turbo,H,CalendarUtil.py,CalendarUtil,PartialSuccess,31.0,0.0,17.0,20.0,0.0,0.8571428571428571,0.8571428571428571
GPT-4-Turbo,H,CamelCaseMap.py,CamelCaseMap,Success,19.0,0.0,,8.0,0.0,1.0,1.0
GPT-4-Turbo,H,ChandrasekharSieve.py,ChandrasekharSieve,Success,15.0,0.0,6.0,7.0,0.0,1.0,1.0
GPT-4-Turbo,H,Chat.py,Chat,error,28.0,0.0,9.0,10.0,0.0,0.0,0.0
GPT-4-Turbo,H,ClassRegistrationSystem.py,ClassRegistrationSystem,Fail,26.0,5.0,7.0,11.0,1.0,0.0,0.0
GPT-4-Turbo,H,Classroom.py,Classroom,Fail,25.0,0.0,8.0,12.0,0.0,0.0,0.0
GPT-4-Turbo,H,CombinationCalculator.py,CombinationCalculator,error,19.0,0.0,1.0,6.0,0.0,0.0,0.0
GPT-4-Turbo,H,ComplexCalculator.py,ComplexCalculator,Success,15.0,5.0,,5.0,1.0,1.0,0.9666666666666667
GPT-4-Turbo,H,CookiesUtil.py,CookiesUtil,error,23.0,0.0,2.0,4.0,0.0,0.0,0.0
GPT-4-Turbo,H,CSVProcessor.py,CSVProcessor,Success,24.0,12.0,1.0,4.0,3.0,1.0,0.95
GPT-4-Turbo,H,CurrencyConverter.py,CurrencyConverter,Success,25.0,0.0,4.0,9.0,0.0,1.0,1.0
GPT-4-Turbo,H,DatabaseProcessor.py,DatabaseProcessor,error,19.0,0.0,2.0,7.0,0.0,0.0,0.0
GPT-4-Turbo,H,DataStatistics.py,DataStatistics,Success,15.0,0.0,2.0,5.0,0.0,1.0,1.0
GPT-4-Turbo,H,DataStatistics2.py,DataStatistics2,error,16.0,0.0,,7.0,0.0,0.0,0.0
GPT-4-Turbo,H,DataStatistics4.py,DataStatistics4,Fail,16.0,0.0,,4.0,0.0,0.0,0.0
GPT-4-Turbo,H,DecryptionUtils.py,DecryptionUtils,Fail,42.0,0.0,19.0,14.0,0.0,0.0,0.0
GPT-4-Turbo,H,DiscountStrategy.py,DiscountStrategy,Success,31.0,15.0,7.0,11.0,3.0,1.0,0.9516129032258065
GPT-4-Turbo,H,DocFileHandler.py,DocFileHandler,error,34.0,0.0,7.0,9.0,0.0,0.0,0.0
GPT-4-Turbo,H,EightPuzzle.py,EightPuzzle,error,44.0,0.0,19.0,16.0,0.0,0.0,0.0
GPT-4-Turbo,H,EmailClient.py,EmailClient,PartialSuccess,28.0,0.0,8.0,11.0,0.0,0.8333333333333334,0.8333333333333334
GPT-4-Turbo,H,EncryptionUtils.py,EncryptionUtils,PartialSuccess,37.0,0.0,20.0,14.0,0.0,0.75,0.75
GPT-4-Turbo,H,ExcelProcessor.py,ExcelProcessor,error,31.0,7.0,4.0,7.0,2.0,0.0,0.0
GPT-4-Turbo,H,ExpressionCalculator.py,ExpressionCalculator,error,55.0,0.0,23.0,16.0,0.0,0.0,0.0
GPT-4-Turbo,H,FitnessTracker.py,FitnessTracker,Success,32.0,7.0,8.0,7.0,2.0,1.0,0.978125
GPT-4-Turbo,H,GomokuGame.py,GomokuGame,error,29.0,0.0,21.0,14.0,0.0,0.0,0.0
GPT-4-Turbo,H,Hotel.py,Hotel,Success,42.0,0.0,27.0,15.0,0.0,1.0,1.0
GPT-4-Turbo,H,HRManagementSystem.py,HRManagementSystem,Fail,28.0,0.0,8.0,10.0,0.0,0.0,0.0
GPT-4-Turbo,H,HtmlUtil.py,HtmlUtil,error,22.0,0.0,1.0,5.0,0.0,0.0,0.0
GPT-4-Turbo,H,ImageProcessor.py,ImageProcessor,error,19.0,0.0,4.0,10.0,0.0,0.0,0.0
GPT-4-Turbo,H,Interpolation.py,Interpolation,error,12.0,5.0,,3.0,1.0,0.0,0.0
GPT-4-Turbo,H,IPAddress.py,IPAddress,Success,21.0,0.0,9.0,10.0,0.0,1.0,1.0
GPT-4-Turbo,H,IpUtil.py,IpUtil,error,29.0,0.0,6.0,3.0,0.0,0.0,0.0
GPT-4-Turbo,H,JobMarketplace.py,JobMarketplace,error,18.0,0.0,,10.0,0.0,0.0,0.0
GPT-4-Turbo,H,JSONProcessor.py,JSONProcessor,PartialSuccess,31.0,0.0,7.0,7.0,0.0,0.75,0.75
GPT-4-Turbo,H,KappaCalculator.py,KappaCalculator,error,16.0,8.0,,2.0,4.0,0.0,0.0
GPT-4-Turbo,H,Lemmatization.py,Lemmatization,error,25.0,0.0,5.0,6.0,0.0,0.0,0.0
GPT-4-Turbo,H,LongestWord.py,LongestWord,PartialSuccess,17.0,0.0,5.0,7.0,0.0,0.5,0.5
GPT-4-Turbo,H,MahjongConnect.py,MahjongConnect,error,36.0,24.0,16.0,18.0,6.0,0.0,0.0
GPT-4-Turbo,H,Manacher.py,Manacher,Fail,19.0,0.0,7.0,9.0,0.0,0.0,0.0
GPT-4-Turbo,H,MetricsCalculator.py,MetricsCalculator,error,28.0,0.0,12.0,10.0,0.0,0.0,0.0
GPT-4-Turbo,H,MetricsCalculator2.py,MetricsCalculator2,Fail,26.0,10.0,13.0,10.0,2.0,0.0,0.0
GPT-4-Turbo,H,MinesweeperGame.py,MinesweeperGame,error,37.0,10.0,23.0,17.0,2.0,0.0,0.0
GPT-4-Turbo,H,MovieBookingSystem.py,MovieBookingSystem,Success,26.0,0.0,15.0,11.0,0.0,1.0,1.0
GPT-4-Turbo,H,MovieTicketDB.py,MovieTicketDB,Success,32.0,0.0,,5.0,0.0,1.0,1.0
GPT-4-Turbo,H,MusicPlayer.py,MusicPlayer,Success,54.0,0.0,19.0,18.0,0.0,1.0,1.0
GPT-4-Turbo,H,NLPDataProcessor.py,NLPDataProcessor,PartialSuccess,8.0,0.0,,4.0,0.0,0.6666666666666666,0.6666666666666666
GPT-4-Turbo,H,NLPDataProcessor2.py,NLPDataProcessor2,Success,18.0,0.0,2.0,5.0,0.0,1.0,1.0
GPT-4-Turbo,H,NumberConverter.py,NumberConverter,Success,19.0,0.0,,6.0,0.0,1.0,1.0
GPT-4-Turbo,H,NumberWordFormatter.py,NumberWordFormatter,Fail,29.0,0.0,6.0,9.0,0.0,0.0,0.0
GPT-4-Turbo,H,NumericEntityUnescaper.py,NumericEntityUnescaper,Success,10.0,5.0,,3.0,1.0,1.0,0.95
GPT-4-Turbo,H,Order.py,Order,Success,25.0,5.0,9.0,9.0,1.0,1.0,0.98
GPT-4-Turbo,H,PageUtil.py,PageUtil,PartialSuccess,33.0,0.0,,5.0,0.0,0.75,0.75
GPT-4-Turbo,H,PDFHandler.py,PDFHandler,error,23.0,0.0,6.0,7.0,0.0,0.0,0.0
GPT-4-Turbo,H,PersonRequest.py,PersonRequest,Success,17.0,26.0,5.0,10.0,7.0,1.0,0.8470588235294118
GPT-4-Turbo,H,PushBoxGame.py,PushBoxGame,error,37.0,0.0,20.0,13.0,0.0,0.0,0.0
GPT-4-Turbo,H,RegexUtils.py,RegexUtils,Success,25.0,0.0,,10.0,0.0,1.0,1.0
GPT-4-Turbo,H,RPGCharacter.py,RPGCharacter,Success,32.0,0.0,4.0,10.0,0.0,1.0,1.0
GPT-4-Turbo,H,Server.py,Server,PartialSuccess,32.0,0.0,9.0,10.0,0.0,0.6666666666666666,0.6666666666666666
GPT-4-Turbo,H,ShoppingCart.py,ShoppingCart,Success,21.0,0.0,7.0,9.0,0.0,1.0,1.0
GPT-4-Turbo,H,SignInSystem.py,SignInSystem,Success,21.0,0.0,4.0,9.0,0.0,1.0,1.0
GPT-4-Turbo,H,Snake.py,Snake,error,37.0,6.0,10.0,11.0,3.0,0.0,0.0
GPT-4-Turbo,H,SplitSentence.py,SplitSentence,Fail,12.0,0.0,,3.0,0.0,0.0,0.0
GPT-4-Turbo,H,SQLGenerator.py,SQLGenerator,Success,31.0,0.0,3.0,9.0,0.0,1.0,1.0
GPT-4-Turbo,H,SQLQueryBuilder.py,SQLQueryBuilder,Success,26.0,12.0,3.0,7.0,2.0,1.0,0.9538461538461538
GPT-4-Turbo,H,Statistics3.py,Statistics3,Fail,34.0,0.0,,8.0,0.0,0.0,0.0
GPT-4-Turbo,H,StockPortfolioTracker.py,StockPortfolioTracker,error,40.0,5.0,14.0,16.0,1.0,0.0,0.0
GPT-4-Turbo,H,StudentDatabaseProcessor.py,StudentDatabaseProcessor,Success,44.0,0.0,,5.0,0.0,1.0,1.0
GPT-4-Turbo,H,TextFileProcessor.py,TextFileProcessor,error,23.0,0.0,,5.0,0.0,0.0,0.0
GPT-4-Turbo,H,Thermostat.py,Thermostat,error,40.0,0.0,13.0,16.0,0.0,0.0,0.0
GPT-4-Turbo,H,TicTacToe.py,TicTacToe,Success,27.0,2.0,14.0,13.0,1.0,1.0,0.9925925925925926
GPT-4-Turbo,H,TimeUtils.py,TimeUtils,Fail,22.0,0.0,,8.0,0.0,0.0,0.0
GPT-4-Turbo,H,TriCalculator.py,TriCalculator,Fail,29.0,15.0,4.0,9.0,3.0,0.0,0.0
GPT-4-Turbo,H,TwentyFourPointGame.py,TwentyFourPointGame,PartialSuccess,15.0,5.0,1.0,5.0,1.0,0.75,0.725
GPT-4-Turbo,H,URLHandler.py,URLHandler,Fail,14.0,0.0,,6.0,0.0,0.0,0.0
GPT-4-Turbo,H,UrlPath.py,UrlPath,Fail,14.0,0.0,,4.0,0.0,0.0,0.0
GPT-4-Turbo,H,UserLoginDB.py,UserLoginDB,error,19.0,0.0,,6.0,0.0,0.0,0.0
GPT-4-Turbo,H,VectorUtil.py,VectorUtil,Success,20.0,0.0,,4.0,0.0,1.0,1.0
GPT-4-Turbo,H,VendingMachine.py,VendingMachine,PartialSuccess,27.0,0.0,7.0,11.0,0.0,0.6666666666666666,0.6666666666666666
GPT-4-Turbo,H,Warehouse.py,Warehouse,Success,33.0,0.0,12.0,14.0,0.0,1.0,1.0
GPT-4-Turbo,H,WeatherSystem.py,WeatherSystem,PartialSuccess,19.0,0.0,1.0,6.0,0.0,0.8,0.8
GPT-4-Turbo,H,Words2Numbers.py,Words2Numbers,error,35.0,20.0,12.0,12.0,1.0,0.0,0.0
GPT-4-Turbo,H,XMLProcessor.py,XMLProcessor,Fail,23.0,0.0,2.0,6.0,0.0,0.0,0.0
GPT-4-Turbo,H,ZipFileProcessor.py,ZipFileProcessor,Success,35.0,0.0,5.0,6.0,0.0,1.0,1.0
GroundTruth,GT,AccessGatewayFilter.py,AccessGatewayFilter,Success,36.0,15.0,9.0,11.0,3.0,1.0,0.9583333333333334
GroundTruth,GT,AreaCalculator.py,AreaCalculator,Success,14.0,0.0,,6.0,0.0,1.0,1.0
GroundTruth,GT,ArgumentParser.py,ArgumentParser,Success,36.0,0.0,16.0,12.0,0.0,1.0,1.0
GroundTruth,GT,ArrangementCalculator.py,ArrangementCalculator,Success,34.0,0.0,8.0,13.0,0.0,1.0,1.0
GroundTruth,GT,AssessmentSystem.py,AssessmentSystem,Success,40.0,0.0,21.0,20.0,0.0,1.0,1.0
GroundTruth,GT,AutomaticGuitarSimulator.py,AutomaticGuitarSimulator,Success,24.0,0.0,14.0,8.0,0.0,1.0,1.0
GroundTruth,GT,AvgPartition.py,AvgPartition,Success,15.0,5.0,1.0,4.0,1.0,1.0,0.9666666666666667
GroundTruth,GT,BalancedBrackets.py,BalancedBrackets,Success,27.0,35.0,27.0,14.0,6.0,1.0,0.8703703703703703
GroundTruth,GT,BankAccount.py,BankAccount,Success,20.0,0.0,3.0,8.0,0.0,1.0,1.0
GroundTruth,GT,BigNumCalculator.py,BigNumCalculator,Success,62.0,10.0,20.0,16.0,1.0,1.0,0.9838709677419355
GroundTruth,GT,BinaryDataProcessor.py,BinaryDataProcessor,Success,31.0,0.0,2.0,7.0,0.0,1.0,1.0
GroundTruth,GT,BitStatusUtil.py,BitStatusUtil,Success,22.0,0.0,6.0,8.0,0.0,1.0,1.0
GroundTruth,GT,BlackjackGame.py,BlackjackGame,Success,48.0,12.0,21.0,14.0,2.0,1.0,0.975
GroundTruth,GT,BookManagement.py,BookManagement,Success,20.0,0.0,6.0,10.0,0.0,1.0,1.0
GroundTruth,GT,BookManagementDB.py,BookManagementDB,Success,43.0,0.0,,7.0,0.0,1.0,1.0
GroundTruth,GT,BoyerMooreSearch.py,BoyerMooreSearch,Success,24.0,6.0,10.0,10.0,3.0,1.0,0.975
GroundTruth,GT,Calculator.py,Calculator,Success,61.0,16.0,28.0,18.0,1.0,1.0,0.9737704918032787
GroundTruth,GT,CalendarUtil.py,CalendarUtil,Success,39.0,0.0,16.0,18.0,0.0,1.0,1.0
GroundTruth,GT,CamelCaseMap.py,CamelCaseMap,Success,21.0,0.0,1.0,9.0,0.0,1.0,1.0
